,Points,Wins,Draws,Losses,GF,GA,GD
Barcelona,105,35,0,3,87,37,50
Real Madrid,99,33,0,5,89,46,43
Ath Madrid,83,27,2,9,62,41,21
Sociedad,77,25,2,11,57,50,7
Valencia,63,20,3,15,55,42,13
Celta,62,20,2,16,55,57,-2
Betis,61,19,4,15,47,52,-5
Sevilla,52,16,4,18,55,42,13
Ath Bilbao,52,16,4,18,51,47,4
Mallorca,51,17,0,21,48,57,-9
Getafe,49,16,1,21,45,48,-3
Espanol,48,14,6,18,46,53,-7
Vallecano,47,14,5,19,46,55,-9
Osasuna,43,14,1,23,40,54,-14
Las Palmas,43,14,1,23,43,63,-20
Villareal,42,14,0,24,39,60,-21
Almeria,37,12,1,25,51,70,-19
Granada,37,12,1,25,44,64,-20
Girona,36,12,0,26,62,60,2
Cadiz,33,10,3,25,33,57,-24
